Dataset,Method,MSE
Bodyfat,OLS,3.315563351666212
Bodyfat,OLS,2.435340457608785
Bodyfat,OLS,0.7211439519280692
Bodyfat,OLS,2.4302245817751795
Bodyfat,OLS,9.3807839299758
Bodyfat,OLS,2.35929100023304
Bodyfat,OLS,2.5135826814014797
Bodyfat,OLS,2.9502937649901746
Bodyfat,OLS,2.462677272233987
Bodyfat,OLS,2.5074298255900174
Bodyfat,OLS,2.5356817365920907
Bodyfat,OLS,3.4825393675011997
Bodyfat,OLS,2.792619933259201
Bodyfat,OLS,3.0245605075914526
Bodyfat,OLS,2.589138799169736
Bodyfat,OLS,2.5698716738803093
Bodyfat,OLS,2.576673991830358
Bodyfat,OLS,2.451462400215839
Bodyfat,OLS,2.569454900161176
Bodyfat,OLS,2.5349717840045716
Bodyfat,OLS,3.389773159454097
Bodyfat,OLS,2.3490755571201154
Bodyfat,OLS,2.086807954492077
Bodyfat,OLS,2.399431191136496
Bodyfat,OLS,2.512088627299055
Bodyfat,OLS,2.048818188341303
Bodyfat,OLS,2.066241801630822
Bodyfat,OLS,2.3099088264813807
Bodyfat,OLS,2.4328027370667393
Bodyfat,OLS,3.1497284438105275
Bodyfat,OLS,1.4258312791799248
Bodyfat,OLS,2.593108030896556
Bodyfat,OLS,2.446055738056379
Bodyfat,OLS,2.5612833809776725
Bodyfat,OLS,2.5353719946784685
Bodyfat,OLS,2.4448497888010556
Bodyfat,OLS,0.7065333831562307
Bodyfat,OLS,5.446716945726504
Bodyfat,OLS,0.6113431707055623
Bodyfat,OLS,3.1372145671631446
Bodyfat,OLS,6.281292394613553
Bodyfat,OLS,6.051440948571683
Bodyfat,OLS,2.4016706295717056
Bodyfat,OLS,2.500197875103577
Bodyfat,OLS,2.5595876508910553
Bodyfat,OLS,7.218626363260619
Bodyfat,OLS,2.515982818745218
Bodyfat,OLS,2.342446477118808
Bodyfat,OLS,4.367814567950267
Bodyfat,OLS,2.4307872496097276
